Gender,GivenName,MiddleInitial,Surname,StreetAddress,City,State,ZipCode,EmailAddress,TelephoneNumber,Birthday,Latitude,Longitude
female,Francine,J,Caldwell,"2956 Vesta Drive","Hickory Hills",IL,60457,FrancineJCaldwell@jourrapide.com,773-720-9436,7/19/1962,41.705496,-87.929243
female,Norma,E,Hardin,"587 Breezewood Court",Tribune,KS,67879,NormaEHardin@fleckens.hu,620-376-9080,6/12/1932,38.432324,-101.890947
male,Paul,A,Valles,"379 Cooks Mine Road",Albuquerque,NM,87102,PaulAValles@gustr.com,505-724-6722,5/9/1954,35.012337,-106.552661
female,Alice,G,Hills,"1686 Harper Street",Elizabethtown,KY,42701,AliceGHills@fleckens.hu,270-461-7913,12/7/1992,37.801318,-85.786963
female,Lucille,L,Macaulay,"1797 Coolidge Street",Billings,MT,59102,LucilleLMacaulay@superrito.com,406-924-9801,3/2/1978,45.695082,-108.483813
male,Sam,S,Michael,"3289 Rowes Lane",Franklin,KY,42134,SamSMichael@superrito.com,270-598-1131,9/20/1953,36.739132,-86.488368
female,Juliane,D,Juarez,"4152 Browning Lane",Madison,WI,53718,JulianeDJuarez@gustr.com,608-225-8054,8/7/1953,43.125806,-89.319805
female,Lura,D,Bright,"3083 Kidd Avenue","Healy Lake",AK,99737,LuraDBright@gustr.com,907-876-5421,2/20/1998,63.989528,-144.725961
male,Willie,D,Foster,"3826 Bailey Drive",Waterloo,IA,50703,WillieDFoster@einrot.com,319-272-0208,7/16/1981,42.510366,-92.189187
male,Johnny,E,Adkison,"3679 Michigan Avenue",Bridgeville,PA,15017,JohnnyEAdkison@superrito.com,724-622-6579,3/22/1955,40.327154,-80.22099
female,Frances,C,Graybill,"3896 Lake Floyd Circle",Hagerstown,MD,21740,FrancesCGraybill@jourrapide.com,301-992-4268,1/8/1982,39.726846,-77.711661
female,Elizabeth,P,Dozier,"3783 Flynn Street","Garfield Heights",OH,44128,ElizabethPDozier@einrot.com,440-854-5923,3/28/1985,41.452394,-81.585259
female,Nora,J,Brown,"3550 Sycamore Street","San Jose",CA,95120,NoraJBrown@jourrapide.com,408-927-4001,4/18/1998,37.23754,-121.775139
female,Sabra,W,Cline,"3141 Coolidge Street",Gardiner,MT,59030,SabraWCline@dayrep.com,406-848-3216,3/25/1998,45.042766,-110.403201
male,Samuel,C,Flowers,"1275 Haven Lane",Onondaga,MI,49264,SamuelCFlowers@gustr.com,517-628-6906,3/25/1938,42.462506,-84.4916
male,Thomas,A,Haas,"2178 Blackwell Street","Fort Wainwright",AK,99703,ThomasAHaas@fleckens.hu,907-356-7521,3/9/1934,64.788831,-147.553484
male,Joe,V,Reese,"509 Grant Street","Pine Hill",TX,75652,JoeVReese@fleckens.hu,903-889-5957,12/26/1932,31.926574,-95.497552
female,Madeline,E,Greenwalt,"2899 Scenic Way",Champaign,IL,61820,MadelineEGreenwalt@einrot.com,217-703-7948,8/16/1958,40.183627,-88.24394
male,Moshe,N,Francis,"1437 Capitol Avenue",Indianapolis,IN,46204,MosheNFrancis@einrot.com,765-514-3322,2/16/1991,39.71355,-86.094459
male,Dave,M,Chambers,"3607 Stanton Hollow Road",Lexington,MA,02421,DaveMChambers@armyspy.com,781-532-4615,1/31/1981,42.511928,-71.324078
male,Rick,J,Crank,"1946 Emma Street",Laie,HI,96762,RickJCrank@teleworm.us,808-232-3947,1/12/1990,21.631548,-157.89325
male,Anthony,F,McGee,"178 Harley Brook Lane","State College",PA,16803,AnthonyFMcGee@armyspy.com,814-523-0825,1/22/1985,40.760797,-77.88716
female,Thelma,N,Carvalho,"4971 Maple Avenue",Boise,ID,83702,ThelmaNCarvalho@superrito.com,208-975-7351,5/1/1953,43.688109,-116.224255
male,David,K,Baird,"3552 Conifer Drive",Tukwila,WA,98188,DavidKBaird@jourrapide.com,425-420-5924,7/8/1983,47.39365,-122.250817
male,Frederick,J,Conkle,"547 Cantebury Drive","New York",NY,10013,FrederickJConkle@superrito.com,646-667-7854,2/22/1974,40.716229,-74.021103
male,James,M,Doak,"3393 Clay Lick Road",Denver,CO,80211,JamesMDoak@fleckens.hu,720-855-9523,6/29/1996,39.747842,-105.000261
male,Paul,S,Jackson,"3581 Spirit Drive","Boys Ranch",FL,32060,PaulSJackson@rhyta.com,386-842-6251,7/15/1959,30.360683,-82.950578
male,Nathan,E,Davis,"940 North Avenue",Sutton,NE,68979,NathanEDavis@gustr.com,402-773-4034,1/7/1993,40.602926,-97.831198
male,Louis,S,Bailey,"3703 Clement Street",Roswell,GA,30076,LouisSBailey@fleckens.hu,404-423-8170,2/22/1972,33.942754,-84.369129
female,Ramona,M,Johnson,"1053 Foley Street","Fort Lauderdale",FL,33304,RamonaMJohnson@fleckens.hu,954-689-5382,7/24/1952,26.168534,-80.190888
female,Mary,D,Beckman,"3255 Jarvis Street",Buffalo,NY,14202,MaryDBeckman@jourrapide.com,716-840-5324,2/14/1992,42.85094,-78.931821
female,Linda,J,Harris,"1368 Traders Alley","St Joseph",MO,64507,LindaJHarris@fleckens.hu,816-351-4268,11/8/1959,39.696382,-94.856381
female,Annette,R,Heng,"3086 Bombardier Way",Southfield,MI,48075,AnnetteRHeng@teleworm.us,734-853-1361,12/4/1938,42.510418,-83.286708
female,Dawn,J,Balducci,"2642 Masonic Drive",Missoula,MT,59802,DawnJBalducci@rhyta.com,406-540-0349,10/17/1984,46.9055,-113.791302
female,Emma,E,Moore,"4107 Bridge Avenue",Washington,LA,70589,EmmaEMoore@dayrep.com,337-826-4735,2/26/1947,30.610989,-92.110716
male,Fred,B,Stephenson,"4767 Nutters Barn Lane",Farnhamville,IA,50538,FredBStephenson@einrot.com,515-544-8187,9/18/1952,42.228998,-94.400487
female,Patricia,L,Blackburn,"2284 Oakwood Circle","Los Angeles",CA,90017,PatriciaLBlackburn@armyspy.com,949-342-0636,10/8/1960,34.024545,-118.172489
male,Thomas,A,Kruse,"3762 Seltice Way",Plummer,ID,83851,ThomasAKruse@armyspy.com,208-686-1240,7/16/1958,47.234909,-116.940409
male,Harry,M,Loomis,"1039 Christie Way","North Billerica",MA,01862,HarryMLoomis@superrito.com,978-846-7715,7/1/1936,42.512805,-71.301205
female,Bernadette,I,Snider,"4824 Benson Park Drive",Arcadia,OK,73007,BernadetteISnider@dayrep.com,405-396-7161,4/28/1945,35.737593,-97.336452
female,Sara,R,Pierson,"1067 Petunia Way",Birmingham,AL,35208,SaraRPierson@superrito.com,205-786-2684,6/11/1993,33.49918,-86.805217
female,Cynthia,S,Hewes,"2929 Colony Street",Norwalk,CT,06851,CynthiaSHewes@superrito.com,203-292-1513,3/26/1982,41.108567,-73.424154
male,Larry,K,Thompson,"2882 Fulton Street",Welch,WV,24801,LarryKThompson@dayrep.com,304-436-3965,1/25/1983,37.468809,-81.541606
female,Jaime,R,McVey,"3589 Jenna Lane","West Des Moines",IA,50266,JaimeRMcVey@fleckens.hu,515-222-4407,10/7/1949,41.485461,-93.711417
male,Brett,A,Westbrook,"151 Victoria Street",Chicago,IL,60631,BrettAWestbrook@gustr.com,224-659-5294,4/23/1965,41.954774,-87.826555
male,Daniel,L,Laliberte,"908 Ash Street",Dallas,TX,75201,DanielLLaliberte@fleckens.hu,972-850-6840,3/30/1974,32.710999,-96.869417
male,Michael,C,Rankin,"4940 Adonais Way",Alpharetta,GA,30201,MichaelCRankin@rhyta.com,678-393-5456,1/20/1965,34.140655,-84.193281
female,Marjorie,D,Bishop,"2986 Ocello Street","San Diego",CA,92121,MarjorieDBishop@einrot.com,619-941-8414,4/9/1981,32.829705,-117.114932
female,Cynthia,T,Murphy,"3174 Bryan Avenue",Minneapolis,MN,55415,CynthiaTMurphy@gustr.com,651-323-2596,6/29/1935,44.963561,-93.17992
male,Bennie,B,Lafollette,"2542 Romines Mill Road",Dallas,TX,75247,BennieBLafollette@fleckens.hu,214-642-4175,8/20/1946,32.867357,-96.830186
female,Pamela,D,Gessner,"4393 Friendship Lane","San Francisco",CA,94108,PamelaDGessner@cuvox.de,408-674-3547,1/17/1950,37.787215,-122.418874
female,Nadia,E,Edwards,"1169 Philli Lane","Buffalo Valley",OK,74571,NadiaEEdwards@superrito.com,918-522-7495,7/10/1995,34.666969,-95.242233
female,Terry,D,Desmond,"4894 Sardis Station",Eagan,MN,55121,TerryDDesmond@einrot.com,612-483-9525,9/8/1992,44.828746,-93.127152
female,Louise,D,Ramos,"3621 Morris Street",Seguin,TX,78155,LouiseDRamos@einrot.com,830-372-2685,1/15/1963,29.593946,-97.933374
female,Sofia,A,Roberts,"492 Stuart Street",Portland,PA,97205,SofiaARoberts@jourrapide.com,724-386-2863,6/8/1962,45.480321,-122.633417
male,Christopher,A,Watley,"1168 Whitetail Lane",Dallas,TX,75207,ChristopherAWatley@fleckens.hu,469-361-8222,11/28/1995,32.741444,-96.739593
male,Guadalupe,S,Montgomery,"3241 Cottonwood Lane","Grand Rapids",MI,49503,GuadalupeSMontgomery@dayrep.com,616-291-6398,8/14/1986,43.018265,-85.562694
male,Richard,V,Santana,"4757 Maple Court",Sikeston,MO,63801,RichardVSantana@jourrapide.com,573-360-1283,10/15/1950,36.807732,-89.569534
female,Beulah,B,Roark,"4170 Aspen Court",Boston,MA,02107,BeulahBRoark@gustr.com,617-330-7968,10/1/1943,42.439117,-71.137754
female,Amy,A,Cuellar,"4657 Bingamon Road",Cleveland,OH,44115,AmyACuellar@superrito.com,440-545-8007,9/4/1985,41.583724,-81.601914
female,Kathleen,R,Poindexter,"1558 Roane Avenue",Savage,MD,20763,KathleenRPoindexter@einrot.com,301-267-6238,10/28/1953,39.085295,-76.864991
female,Melody,A,Graves,"1183 Spring Street",Elwin,IL,62521,MelodyAGraves@superrito.com,217-767-4426,3/26/1941,39.822458,-89.000038
male,Noah,L,Cifuentes,"1717 Private Lane",Albany,GA,31701,NoahLCifuentes@gustr.com,229-312-6950,5/17/1980,31.561743,-84.148883
female,Sheri,P,Powell,"1379 Lake Floyd Circle",Gaithersburg,MD,20877,SheriPPowell@armyspy.com,301-975-5241,9/22/1997,39.124131,-77.140828
female,Cindy,K,Clarkson,"2289 Winding Way",Pawtucket,RI,02860,CindyKClarkson@cuvox.de,401-725-1456,12/7/1934,41.968368,-71.461849
male,Lonnie,J,Quezada,"2200 Pike Street","San Diego",CA,92123,LonnieJQuezada@gustr.com,858-546-0573,12/18/1985,32.808876,-117.208355
male,Thomas,E,Ragan,"767 George Avenue",Mobile,AL,36602,ThomasERagan@rhyta.com,251-434-5252,4/20/1948,30.772264,-87.982018
male,Glen,P,Marquez,"3756 Hood Avenue","San Diego",CA,92128,GlenPMarquez@superrito.com,858-655-7105,11/2/1990,33.040521,-117.099861
female,Mamie,D,Billups,"316 August Lane",Alexandria,LA,71302,MamieDBillups@fleckens.hu,318-463-0118,1/1/1942,31.183449,-92.318146
male,Andres,A,Terrell,"4342 Edsel Road","Sherman Oaks",CA,91403,AndresATerrell@cuvox.de,818-372-3957,3/11/1937,34.081689,-118.540071
male,Gavin,M,Godbey,"4104 Whitetail Lane",Dallas,TX,75201,GavinMGodbey@gustr.com,469-447-7985,1/12/1943,32.800788,-96.852619
female,Victoria,C,Thompson,"1216 Edington Drive",Fayetteville,GA,30214,VictoriaCThompson@fleckens.hu,678-817-5616,12/1/1956,33.436521,-84.485173
male,Alvaro,N,Anderson,"3081 Marcus Street",Anniston,AL,36201,AlvaroNAnderson@jourrapide.com,256-591-6958,3/12/1972,33.573373,-85.982468
female,Maggie,C,Stepp,"4767 Hemlock Lane","San Benito",TX,78586,MaggieCStepp@fleckens.hu,956-399-3551,6/17/1940,26.183718,-97.729161
female,Donna,T,Mims,"276 Sycamore Road",Eugene,OR,97404,DonnaTMims@superrito.com,541-463-1774,12/24/1978,44.098635,-123.073652
male,Kyle,J,Rodriguez,"1910 Nickel Road",Irvine,CA,92618,KyleJRodriguez@cuvox.de,626-703-1140,4/16/1959,33.591466,-117.769775
female,Yolanda,D,McClellan,"2153 Jody Road",Glenolden,PA,19036,YolandaDMcClellan@superrito.com,610-583-8069,7/26/1938,39.821687,-75.284377
female,Christine,M,Peterson,"2010 Illinois Avenue",Aumsville,OR,97325,ChristineMPeterson@jourrapide.com,503-749-5700,6/19/1948,44.78466,-122.808273
male,Maurice,N,Jones,"4748 Grove Avenue",Lawton,OK,73501,MauriceNJones@rhyta.com,580-354-3824,7/19/1940,34.776936,-98.553587
female,Racquel,M,Durfee,"1673 Meadow Lane",Concord,CA,94520,RacquelMDurfee@fleckens.hu,707-301-9190,12/17/1965,37.907923,-122.001547
female,Betty,B,Ash,"2449 Post Farm Road",Atlanta,GA,30309,BettyBAsh@teleworm.us,404-280-9485,5/4/1987,33.815521,-84.325777
female,Corrine,R,Gill,"1619 Drainer Avenue","Panama City",FL,32401,CorrineRGill@dayrep.com,850-588-3754,5/27/1997,30.200209,-85.530394
male,Craig,A,Hosley,"2141 Austin Avenue",Brunswick,GA,31520,CraigAHosley@einrot.com,912-261-9004,2/21/1936,31.204224,-81.439843
male,Michael,A,Lewis,"3827 Cooks Mine Road","Truth Or Consequences",NM,87901,MichaelALewis@fleckens.hu,505-740-0531,11/7/1989,33.142796,-107.088406
female,Karen,D,Childers,"1563 Angus Road","New York",NY,10014,KarenDChilders@gustr.com,212-419-4501,1/11/1932,40.806273,-74.041988
male,Douglas,M,White,"1158 Irish Lane",Madison,WI,53718,DouglasMWhite@gustr.com,608-818-9767,1/13/1993,43.031444,-89.191595
male,Robert,S,Comes,"3817 Oakmound Drive",Westchester,IL,60154,RobertSComes@dayrep.com,773-393-1839,10/21/1968,41.899186,-87.839541
female,Karina,W,Armstrong,"4102 Retreat Avenue",Oneonta,AL,35121,KarinaWArmstrong@cuvox.de,205-274-3016,10/2/1951,34.047208,-86.548887
male,James,J,Phillips,"670 May Street",Winchester,KY,40391,JamesJPhillips@superrito.com,606-262-4636,11/2/1973,37.944939,-84.181772
female,Laurie,J,Stricklin,"3846 Village View Drive","Fort Myers",FL,33901,LaurieJStricklin@jourrapide.com,239-890-7971,8/30/1932,26.529357,-81.875718
male,Steven,K,Ibanez,"487 Franklee Lane",Coopersburg,PA,18036,StevenKIbanez@gustr.com,484-499-4345,10/10/1964,40.577716,-75.405303
female,Phyllis,J,Castro,"85 Chandler Hollow Road","West Mifflin",PA,15122,PhyllisJCastro@dayrep.com,412-466-1466,7/5/1944,40.395792,-79.84031
female,Alberta,C,Mejia,"837 Pinnickinick Street",Bellingham,WA,98225,AlbertaCMejia@jourrapide.com,360-733-6638,7/23/1970,48.696354,-122.389153
male,Walter,E,Bridwell,"2403 Gregory Lane",Louisville,KY,40202,WalterEBridwell@jourrapide.com,502-589-3379,7/11/1974,38.233468,-85.812329
male,David,D,Jury,"4828 Bryan Avenue","Saint Paul",MN,55102,DavidDJury@teleworm.us,651-293-6649,4/19/1966,44.953941,-93.062078
female,Robin,R,Elston,"2309 Gateway Avenue",Anaheim,CA,92801,RobinRElston@einrot.com,661-803-3702,12/25/1974,33.811688,-117.956279
male,Angel,J,Lantz,"2477 Green Avenue",Oakland,CA,94609,AngelJLantz@einrot.com,510-818-1578,5/26/1934,37.825429,-122.229623
male,Bryan,T,Schutz,"3589 Green Hill Road","Little Rock",AR,72212,BryanTSchutz@jourrapide.com,479-355-5732,12/20/1955,34.873661,-92.342239
male,James,L,Newcomer,"4328 Stuart Street",Pittsburgh,PA,15219,JamesLNewcomer@jourrapide.com,724-470-6017,3/17/1991,40.534184,-80.047885
female,Laverne,J,Pike,"2429 Finwood Road",Freehold,NJ,07728,LaverneJPike@cuvox.de,732-467-0015,1/21/1954,40.312212,-74.265747
male,Roy,K,Smith,"426 Baker Avenue",Dallas,TX,75201,RoyKSmith@jourrapide.com,817-869-2598,10/21/1982,32.757122,-96.774201
female,Amy,P,Lyle,"2453 Henry Ford Avenue",Tulsa,OK,74133,AmyPLyle@cuvox.de,918-250-2253,1/30/1942,36.067652,-95.953569
female,Emma,E,Lamas,"4847 Fleming Street",Montgomery,AL,36109,EmmaELamas@superrito.com,334-409-0710,5/20/1944,32.429098,-86.286228
male,Douglas,A,Riding,"1839 White Avenue","Corpus Christi",TX,78405,DouglasARiding@jourrapide.com,361-653-7990,2/21/1975,27.692004,-97.491487
female,Gertrude,B,Spears,"469 Poplar Lane",Miami,FL,33165,GertrudeBSpears@fleckens.hu,305-554-2265,2/2/1962,25.768458,-80.29664
female,Ha,J,Nelson,"2605 Fleming Way",Richmond,VA,23224,HaJNelson@dayrep.com,804-674-7607,11/27/1970,37.484662,-77.454937
male,William,H,Macias,"1193 Wines Lane",Houston,TX,77002,WilliamHMacias@fleckens.hu,832-261-0181,5/2/1940,29.724583,-95.392706
female,Kelly,C,Brennan,"4629 Robinson Court",Clare,MI,48617,KellyCBrennan@gustr.com,989-386-1413,5/30/1992,43.840549,-84.812464
male,Gary,J,Hosier,"260 Broadway Street",Bluffton,SC,29910,GaryJHosier@rhyta.com,843-705-2888,9/2/1948,32.264,-80.819177
female,Nancy,M,Tatum,"4846 Briarwood Drive",Camden,NJ,08102,NancyMTatum@gustr.com,856-462-5740,3/20/1959,39.898018,-75.109614
male,Douglas,E,Kauffman,"3961 Public Works Drive",Chattanooga,TN,37421,DouglasEKauffman@dayrep.com,423-362-4220,10/4/1943,35.069603,-85.193296
female,Lan,T,Michelson,"1651 Willison Street","Golden Valley",MN,55427,LanTMichelson@einrot.com,763-293-2150,8/14/1965,45.01828,-93.306128
male,Keith,M,Larmon,"4825 Leo Street",Denver,CO,80202,KeithMLarmon@jourrapide.com,720-907-3858,2/4/1951,39.704344,-104.963182
male,Ernest,A,Barber,"3446 Nickel Road",Alhambra,CA,91801,ErnestABarber@jourrapide.com,626-589-2883,4/28/1991,34.047172,-118.199259
female,Kathleen,H,Anderson,"3986 Willis Avenue","Flagler Beach",FL,32136,KathleenHAnderson@jourrapide.com,386-517-6220,3/3/1959,29.490437,-81.228144
male,Richard,M,Miller,"2273 Still Street",Sandusky,OH,44870,RichardMMiller@armyspy.com,419-626-0319,10/31/1988,41.464461,-82.762361
female,Patricia,J,Coonrod,"3391 Raver Croft Drive",Chattanooga,TN,37421,PatriciaJCoonrod@gustr.com,423-645-0037,6/26/1939,35.130216,-85.204277
male,James,A,Jackson,"2205 Jarvisville Road",Lansing,MI,48933,JamesAJackson@fleckens.hu,517-204-6349,1/8/1949,42.769904,-84.535136
male,Robert,B,Brock,"1742 Atha Drive","Los Angeles",CA,90017,RobertBBrock@superrito.com,661-673-8495,3/30/1987,34.066715,-118.340273
male,Scott,A,Anderson,"2144 Mandan Road",Deering,MO,63840,ScottAAnderson@gustr.com,573-757-6724,1/4/1977,36.167569,-89.924637
male,Douglas,M,Hess,"2616 Lowland Drive",Tonica,IL,61370,DouglasMHess@teleworm.us,815-442-0023,2/22/1944,41.240647,-89.12051
male,Marcus,S,Hanley,"1450 Whiteman Street",Camden,NJ,08102,MarcusSHanley@armyspy.com,609-847-6692,12/19/1964,40.025441,-75.022163
female,Michelle,S,Green,"3871 Capitol Avenue",Indianapolis,IN,46202,MichelleSGreen@einrot.com,765-562-8113,8/26/1946,39.787087,-86.244322
male,Clair,J,Mikkelson,"1326 Delaware Avenue","San Francisco",CA,94108,ClairJMikkelson@superrito.com,415-263-7272,8/8/1992,37.836574,-122.340417
female,Asia,M,Harris,"1166 Williams Lane",Wichita,KS,67202,AsiaMHarris@cuvox.de,316-677-4412,5/14/1985,37.740917,-97.357001
female,Caroline,L,Wade,"4814 Blue Spruce Lane",Hanover,MD,21076,CarolineLWade@jourrapide.com,410-322-1368,5/19/1973,39.259787,-76.734363
female,Susan,D,Luck,"1206 Woodrow Way",Waller,TX,77484,SusanDLuck@rhyta.com,936-389-0488,2/8/1984,30.10238,-95.848542
male,Jimmy,P,Williamson,"1902 Still Pastures Drive",Chester,SC,29706,JimmyPWilliamson@superrito.com,803-375-9094,9/8/1981,34.677534,-81.218147
male,James,R,Wagner,"1757 Dye Street",Phoenix,AZ,85034,JamesRWagner@jourrapide.com,480-688-8501,9/23/1991,33.453397,-112.073121
female,Cheryl,B,Bradford,"3752 Hewes Avenue","Windsor Mill",MD,21244,CherylBBradford@dayrep.com,443-624-5523,11/5/1977,39.390353,-76.836112
female,Donna,C,Beauchamp,"4756 Victoria Street","Baton Rouge",LA,70802,DonnaCBeauchamp@dayrep.com,225-212-8254,12/25/1986,30.340502,-91.230275
male,Charles,T,Bethune,"4657 Hickory Ridge Drive","Las Vegas",NV,89119,CharlesTBethune@armyspy.com,702-677-5530,10/6/1952,36.103114,-115.175589
female,Leslie,J,Mendez,"3229 Neville Street",Chandler,IN,47610,LeslieJMendez@cuvox.de,812-631-8437,10/18/1998,38.133348,-87.3597
male,Mark,B,Marlow,"3835 May Street",Danville,KY,40422,MarkBMarlow@rhyta.com,606-344-1827,2/26/1944,37.675384,-84.840738
female,Ursula,C,Poirier,"3410 Ashmor Drive",Fargo,MN,58102,UrsulaCPoirier@cuvox.de,218-236-9634,4/15/1954,46.970392,-96.846727
female,Brenda,K,Jaramillo,"1102 Forest Avenue","New York",NY,10019,BrendaKJaramillo@gustr.com,646-756-7809,12/23/1963,40.726909,-74.074953
male,David,O,Cornwell,"2562 Lynn Avenue","Prairie Farm",WI,54762,DavidOCornwell@gustr.com,715-455-0096,3/29/1958,45.314108,-91.987
female,Lisa,G,Mortensen,"4325 Diamond Cove","West Warwick",RI,02893,LisaGMortensen@armyspy.com,401-405-9791,10/5/1974,41.606579,-71.587756
male,Gerardo,T,Weaver,"2018 Main Street",Seattle,WA,98109,GerardoTWeaver@rhyta.com,425-651-2666,9/27/1986,47.589452,-122.316504
female,Rosa,T,McReynolds,"4151 Wilkinson Court","Fort Myers",FL,33901,RosaTMcReynolds@armyspy.com,239-476-5983,11/7/1962,26.631461,-81.863599
male,James,R,Lane,"4975 Viking Drive",Columbus,OH,43215,JamesRLane@cuvox.de,740-777-5657,7/8/1972,39.889196,-83.036165
female,Kathlyn,S,Weimer,"3718 Alpaca Way",Burbank,CA,91505,KathlynSWeimer@rhyta.com,714-767-0469,10/4/1942,34.226756,-118.325898
female,Heather,D,Williams,"2916 Lincoln Drive",Harrisburg,PA,17111,HeatherDWilliams@cuvox.de,717-564-6642,8/17/1946,40.32405,-76.786594
male,David,R,Young,"1352 Diane Street","Santa Barbara",CA,93101,DavidRYoung@gustr.com,805-478-9934,8/7/1995,34.327217,-119.798552
female,Anne,W,Hill,"1102 Lena Lane",Jackson,MS,39201,AnneWHill@dayrep.com,601-475-2006,5/1/1971,32.218022,-90.27503
male,Billy,S,Harris,"1944 Tecumsah Lane","Cedar Rapids",IA,52404,BillySHarris@jourrapide.com,319-242-5975,11/6/1955,41.904004,-91.745018
male,Travis,P,Morris,"2224 Stuart Street",Gibsonia,PA,15044,TravisPMorris@cuvox.de,724-449-3316,12/6/1986,40.723211,-79.946784
female,Vickie,D,Reed,"4618 Kelley Road",Gulfport,MS,39501,VickieDReed@jourrapide.com,228-572-3621,2/1/1987,30.333482,-89.076334
male,Bret,K,Stanley,"378 Flint Street",Atlanta,GA,30329,BretKStanley@teleworm.us,678-215-7226,9/26/1944,33.776741,-84.293226
